date,day_type,description,academic_week,is_holiday,is_exam,is_break
2024-01-01,break,Winter Vacation,1,0,0,1
2024-01-02,break,Winter Vacation,1,0,0,1
2024-01-03,break,Winter Vacation,1,0,0,1
2024-01-04,break,Winter Vacation,1,0,0,1
2024-01-05,break,Winter Vacation,1,0,0,1
2024-01-06,break,Winter Vacation,1,0,0,1
2024-01-07,break,Winter Vacation,1,0,0,1
2024-01-08,break,Winter Vacation,2,0,0,1
2024-01-09,break,Winter Vacation,2,0,0,1
2024-01-10,break,Winter Vacation,2,0,0,1
2024-01-11,normal,Regular Day,2,0,0,0
2024-01-12,normal,Regular Day,2,0,0,0
2024-01-13,normal,Regular Day,2,0,0,0
2024-01-14,normal,Regular Day,2,0,0,0
2024-01-15,normal,Regular Day,3,0,0,0
2024-01-16,normal,Regular Day,3,0,0,0
2024-01-17,normal,Regular Day,3,0,0,0
2024-01-18,normal,Regular Day,3,0,0,0
2024-01-19,normal,Regular Day,3,0,0,0
2024-01-20,normal,Regular Day,3,0,0,0
2024-01-21,normal,Regular Day,3,0,0,0
2024-01-22,normal,Regular Day,4,0,0,0
2024-01-23,normal,Regular Day,4,0,0,0
2024-01-24,normal,Regular Day,4,0,0,0
2024-01-25,normal,Regular Day,4,0,0,0
2024-01-26,holiday,Republic Day,4,1,0,0
2024-01-27,normal,Regular Day,4,0,0,0
2024-01-28,normal,Regular Day,4,0,0,0
2024-01-29,normal,Regular Day,5,0,0,0
2024-01-30,normal,Regular Day,5,0,0,0
2024-01-31,normal,Regular Day,5,0,0,0
2024-02-01,normal,Regular Day,5,0,0,0
2024-02-02,normal,Regular Day,5,0,0,0
2024-02-03,normal,Regular Day,5,0,0,0
2024-02-04,normal,Regular Day,5,0,0,0
2024-02-05,normal,Regular Day,6,0,0,0
2024-02-06,normal,Regular Day,6,0,0,0
2024-02-07,normal,Regular Day,6,0,0,0
2024-02-08,normal,Regular Day,6,0,0,0
2024-02-09,normal,Regular Day,6,0,0,0
2024-02-10,normal,Regular Day,6,0,0,0
2024-02-11,normal,Regular Day,6,0,0,0
2024-02-12,normal,Regular Day,7,0,0,0
2024-02-13,normal,Regular Day,7,0,0,0
2024-02-14,normal,Regular Day,7,0,0,0
2024-02-15,normal,Regular Day,7,0,0,0
2024-02-16,normal,Regular Day,7,0,0,0
2024-02-17,normal,Regular Day,7,0,0,0
2024-02-18,normal,Regular Day,7,0,0,0
2024-02-19,normal,Regular Day,8,0,0,0
2024-02-20,normal,Regular Day,8,0,0,0
2024-02-21,normal,Regular Day,8,0,0,0
2024-02-22,normal,Regular Day,8,0,0,0
2024-02-23,normal,Regular Day,8,0,0,0
2024-02-24,normal,Regular Day,8,0,0,0
2024-02-25,normal,Regular Day,8,0,0,0
2024-02-26,normal,Regular Day,9,0,0,0
2024-02-27,normal,Regular Day,9,0,0,0
2024-02-28,normal,Regular Day,9,0,0,0
2024-02-29,normal,Regular Day,9,0,0,0
2024-03-01,normal,Regular Day,9,0,0,0
2024-03-02,normal,Regular Day,9,0,0,0
2024-03-03,normal,Regular Day,9,0,0,0
2024-03-04,normal,Regular Day,10,0,0,0
2024-03-05,normal,Regular Day,10,0,0,0
2024-03-06,normal,Regular Day,10,0,0,0
2024-03-07,normal,Regular Day,10,0,0,0
2024-03-08,normal,Regular Day,10,0,0,0
2024-03-09,normal,Regular Day,10,0,0,0
2024-03-10,normal,Regular Day,10,0,0,0
2024-03-11,normal,Regular Day,11,0,0,0
2024-03-12,normal,Regular Day,11,0,0,0
2024-03-13,normal,Regular Day,11,0,0,0
2024-03-14,normal,Regular Day,11,0,0,0
2024-03-15,normal,Regular Day,11,0,0,0
2024-03-16,normal,Regular Day,11,0,0,0
2024-03-17,normal,Regular Day,11,0,0,0
2024-03-18,normal,Regular Day,12,0,0,0
2024-03-19,normal,Regular Day,12,0,0,0
2024-03-20,normal,Regular Day,12,0,0,0
2024-03-21,normal,Regular Day,12,0,0,0
2024-03-22,normal,Regular Day,12,0,0,0
2024-03-23,normal,Regular Day,12,0,0,0
2024-03-24,normal,Regular Day,12,0,0,0
2024-03-25,normal,Regular Day,13,0,0,0
2024-03-26,normal,Regular Day,13,0,0,0
2024-03-27,normal,Regular Day,13,0,0,0
2024-03-28,normal,Regular Day,13,0,0,0
2024-03-29,normal,Regular Day,13,0,0,0
2024-03-30,normal,Regular Day,13,0,0,0
2024-03-31,normal,Regular Day,13,0,0,0
2024-04-01,normal,Regular Day,14,0,0,0
2024-04-02,normal,Regular Day,14,0,0,0
2024-04-03,normal,Regular Day,14,0,0,0
2024-04-04,normal,Regular Day,14,0,0,0
2024-04-05,normal,Regular Day,14,0,0,0
2024-04-06,normal,Regular Day,14,0,0,0
2024-04-07,normal,Regular Day,14,0,0,0
2024-04-08,normal,Regular Day,15,0,0,0
2024-04-09,normal,Regular Day,15,0,0,0
2024-04-10,normal,Regular Day,15,0,0,0
2024-04-11,normal,Regular Day,15,0,0,0
2024-04-12,normal,Regular Day,15,0,0,0
2024-04-13,normal,Regular Day,15,0,0,0
2024-04-14,normal,Regular Day,15,0,0,0
2024-04-15,exam_period,Spring Exams,16,0,1,0
2024-04-16,exam_period,Spring Exams,16,0,1,0
2024-04-17,exam_period,Spring Exams,16,0,1,0
2024-04-18,exam_period,Spring Exams,16,0,1,0
2024-04-19,exam_period,Spring Exams,16,0,1,0
2024-04-20,exam_period,Spring Exams,16,0,1,0
2024-04-21,exam_period,Spring Exams,16,0,1,0
2024-04-22,exam_period,Spring Exams,17,0,1,0
2024-04-23,exam_period,Spring Exams,17,0,1,0
2024-04-24,exam_period,Spring Exams,17,0,1,0
2024-04-25,exam_period,Spring Exams,17,0,1,0
2024-04-26,exam_period,Spring Exams,17,0,1,0
2024-04-27,exam_period,Spring Exams,17,0,1,0
2024-04-28,exam_period,Spring Exams,17,0,1,0
2024-04-29,exam_period,Spring Exams,18,0,1,0
2024-04-30,exam_period,Spring Exams,18,0,1,0
2024-05-01,exam_period,Spring Exams,18,0,1,0
2024-05-02,exam_period,Spring Exams,18,0,1,0
2024-05-03,exam_period,Spring Exams,18,0,1,0
2024-05-04,exam_period,Spring Exams,18,0,1,0
2024-05-05,exam_period,Spring Exams,18,0,1,0
2024-05-06,break,Summer Vacation,19,0,0,1
2024-05-07,break,Summer Vacation,19,0,0,1
2024-05-08,break,Summer Vacation,19,0,0,1
2024-05-09,break,Summer Vacation,19,0,0,1
2024-05-10,break,Summer Vacation,19,0,0,1
2024-05-11,break,Summer Vacation,19,0,0,1
2024-05-12,break,Summer Vacation,19,0,0,1
2024-05-13,break,Summer Vacation,20,0,0,1
2024-05-14,break,Summer Vacation,20,0,0,1
2024-05-15,break,Summer Vacation,20,0,0,1
2024-05-16,break,Summer Vacation,20,0,0,1
2024-05-17,break,Summer Vacation,20,0,0,1
2024-05-18,break,Summer Vacation,20,0,0,1
2024-05-19,break,Summer Vacation,20,0,0,1
2024-05-20,break,Summer Vacation,21,0,0,1
2024-05-21,break,Summer Vacation,21,0,0,1
2024-05-22,break,Summer Vacation,21,0,0,1
2024-05-23,break,Summer Vacation,21,0,0,1
2024-05-24,break,Summer Vacation,21,0,0,1
2024-05-25,break,Summer Vacation,21,0,0,1
