timestamp,building_id,consumption_kwh,temperature_c,occupancy,humidity_pct
2025-01-01T00:00:00+00:00,cafeteria,0.4173,24.6,0.05,53.7
2025-01-01T01:00:00+00:00,cafeteria,0.444,27.3,0.05,60.2
2025-01-01T02:00:00+00:00,cafeteria,0.4368,27.7,0.05,58.6
2025-01-01T03:00:00+00:00,cafeteria,0.4314,26.9,0.05,52.3
2025-01-01T04:00:00+00:00,cafeteria,0.4137,27.4,0.05,54.2
2025-01-01T05:00:00+00:00,cafeteria,0.4292,28.2,0.05,55.5
2025-01-01T06:00:00+00:00,cafeteria,0.4242,30.4,0.2,56.6
2025-01-01T07:00:00+00:00,cafeteria,0.3774,28.5,0.22,55.6
2025-01-01T08:00:00+00:00,cafeteria,0.433,29.8,0.6,67.1
2025-01-01T09:00:00+00:00,cafeteria,0.4417,26.9,0.69,57.7
2025-01-01T10:00:00+00:00,cafeteria,0.4473,26.2,0.78,52.2
2025-01-01T11:00:00+00:00,cafeteria,0.4484,26.6,0.84,67.4
2025-01-01T12:00:00+00:00,cafeteria,0.2808,25.7,0.89,65.3
2025-01-01T13:00:00+00:00,cafeteria,0.432,24.7,0.9,56.7
2025-01-01T14:00:00+00:00,cafeteria,0.4546,20.8,0.89,59.9
2025-01-01T15:00:00+00:00,cafeteria,0.4566,21.7,0.84,57.0
2025-01-01T16:00:00+00:00,cafeteria,0.4444,21.6,0.78,56.8
2025-01-01T17:00:00+00:00,cafeteria,0.4364,19.5,0.69,65.9
2025-01-01T18:00:00+00:00,cafeteria,0.4157,18.4,0.6,66.3
2025-01-01T19:00:00+00:00,cafeteria,0.4061,20.9,0.26,64.3
2025-01-01T20:00:00+00:00,cafeteria,0.4112,19.6,0.24,53.5
2025-01-01T21:00:00+00:00,cafeteria,0.3508,21.5,0.22,66.4
2025-01-01T22:00:00+00:00,cafeteria,0.4187,21.4,0.2,57.5
2025-01-01T23:00:00+00:00,cafeteria,0.4162,24.1,0.05,60.7
2025-01-02T00:00:00+00:00,cafeteria,0.4284,25.5,0.05,59.8
2025-01-02T01:00:00+00:00,cafeteria,0.4385,24.5,0.05,64.9
2025-01-02T02:00:00+00:00,cafeteria,0.4266,25.5,0.05,63.4
