timestamp,building_id,consumption_kwh,temperature_c,occupancy,humidity_pct
2025-01-01T00:00:00+00:00,hostel_a,0.7406,24.2,0.05,65.6
2025-01-01T01:00:00+00:00,hostel_a,0.7213,24.9,0.05,65.5
2025-01-01T02:00:00+00:00,hostel_a,0.7467,27.3,0.05,56.9
2025-01-01T03:00:00+00:00,hostel_a,0.7325,29.5,0.05,66.0
2025-01-01T04:00:00+00:00,hostel_a,0.7474,29.2,0.05,64.1
2025-01-01T05:00:00+00:00,hostel_a,0.687,30.8,0.05,66.9
2025-01-01T06:00:00+00:00,hostel_a,0.7349,29.7,0.2,60.0
2025-01-01T07:00:00+00:00,hostel_a,0.6585,28.9,0.22,57.1
2025-01-01T08:00:00+00:00,hostel_a,0.7217,30.2,0.6,53.3
2025-01-01T09:00:00+00:00,hostel_a,0.7316,27.8,0.69,59.7
2025-01-01T10:00:00+00:00,hostel_a,0.7665,25.6,0.78,53.8
2025-01-01T11:00:00+00:00,hostel_a,0.743,26.6,0.84,60.5
2025-01-01T12:00:00+00:00,hostel_a,0.6583,24.1,0.89,54.4
2025-01-01T13:00:00+00:00,hostel_a,0.7293,24.5,0.9,60.2
2025-01-01T14:00:00+00:00,hostel_a,0.745,21.0,0.89,56.7
2025-01-01T15:00:00+00:00,hostel_a,0.7635,21.8,0.84,66.8
2025-01-01T16:00:00+00:00,hostel_a,0.7334,20.7,0.78,55.2
2025-01-01T17:00:00+00:00,hostel_a,0.7284,20.1,0.69,57.1
2025-01-01T18:00:00+00:00,hostel_a,0.7939,19.0,0.6,62.1
2025-01-01T19:00:00+00:00,hostel_a,0.7983,19.6,0.26,62.5
2025-01-01T20:00:00+00:00,hostel_a,0.7817,21.1,0.24,65.4
2025-01-01T21:00:00+00:00,hostel_a,0.7445,20.6,0.22,54.1
2025-01-01T22:00:00+00:00,hostel_a,0.8142,21.0,0.2,52.9
2025-01-01T23:00:00+00:00,hostel_a,0.8382,23.7,0.05,62.5
2025-01-02T00:00:00+00:00,hostel_a,0.8,25.0,0.05,57.0
2025-01-02T01:00:00+00:00,hostel_a,0.84,25.9,0.05,67.2
2025-01-02T02:00:00+00:00,hostel_a,0.807,26.5,0.05,57.8
2025-01-02T03:00:00+00:00,hostel_a,0.8176,26.9,0.05,67.1
2025-01-02T04:00:00+00:00,hostel_a,0.7919,29.8,0.05,52.5
2025-01-02T05:00:00+00:00,hostel_a,0.824,29.7,0.05,66.9
2025-01-02T06:00:00+00:00,hostel_a,0.7746,29.5,0.2,63.7
2025-01-02T07:00:00+00:00,hostel_a,0.8124,30.2,0.22,60.1
2025-01-02T08:00:00+00:00,hostel_a,0.9128,29.5,0.6,59.0
2025-01-02T09:00:00+00:00,hostel_a,0.9093,26.6,0.69,61.4
2025-01-02T10:00:00+00:00,hostel_a,0.932,28.3,0.78,64.2
2025-01-02T11:00:00+00:00,hostel_a,0.9194,26.8,0.84,53.1
2025-01-02T12:00:00+00:00,hostel_a,0.9016,26.0,0.89,57.6
2025-01-02T13:00:00+00:00,hostel_a,0.9452,22.1,0.9,66.2
2025-01-02T14:00:00+00:00,hostel_a,0.9939,23.2,0.89,62.1
2025-01-02T15:00:00+00:00,hostel_a,0.9557,19.8,0.84,67.7
2025-01-02T16:00:00+00:00,hostel_a,0.9702,21.5,0.78,67.5
2025-01-02T17:00:00+00:00,hostel_a,0.9198,20.3,0.69,65.1
2025-01-02T18:00:00+00:00,hostel_a,0.7898,18.1,0.6,60.6
2025-01-02T19:00:00+00:00,hostel_a,0.8066,20.6,0.26,63.7
2025-01-02T20:00:00+00:00,hostel_a,0.7634,19.2,0.24,52.1
2025-01-02T21:00:00+00:00,hostel_a,0.7447,20.7,0.22,54.1
2025-01-02T22:00:00+00:00,hostel_a,0.7863,20.5,0.2,65.2
2025-01-02T23:00:00+00:00,hostel_a,0.8163,24.4,0.05,61.6
2025-01-03T00:00:00+00:00,hostel_a,0.8046,25.8,0.05,64.4
2025-01-03T01:00:00+00:00,hostel_a,0.8276,24.8,0.05,62.7
2025-01-03T02:00:00+00:00,hostel_a,0.8169,26.9,0.05,53.0
2025-01-03T03:00:00+00:00,hostel_a,0.8327,28.7,0.05,66.7
2025-01-03T04:00:00+00:00,hostel_a,0.7786,27.9,0.05,58.4
2025-01-03T05:00:00+00:00,hostel_a,0.8481,29.4,0.05,60.7
2025-01-03T06:00:00+00:00,hostel_a,0.8798,29.2,0.2,57.3
2025-01-03T07:00:00+00:00,hostel_a,0.8431,27.9,0.22,52.8
2025-01-03T08:00:00+00:00,hostel_a,0.9368,28.9,0.6,59.5
2025-01-03T09:00:00+00:00,hostel_a,0.8909,27.0,0.69,66.8
2025-01-03T10:00:00+00:00,hostel_a,0.8766,27.6,0.78,59.4
2025-01-03T11:00:00+00:00,hostel_a,0.8796,24.9,0.84,55.2
2025-01-03T12:00:00+00:00,hostel_a,0.8589,24.0,0.89,67.4
2025-01-03T13:00:00+00:00,hostel_a,0.8066,24.1,0.9,63.3
2025-01-03T14:00:00+00:00,hostel_a,0.8607,21.6,0.89,52.3
2025-01-03T15:00:00+00:00,hostel_a,0.9033,22.2,0.84,64.3
2025-01-03T16:00:00+00:00,hostel_a,0.9148,19.0,0.78,56.1
2025-01-03T17:00:00+00:00,hostel_a,0.8882,19.2,0.69,52.8
2025-01-03T18:00:00+00:00,hostel_a,0.7741,19.6,0.6,55.3
2025-01-03T19:00:00+00:00,hostel_a,0.8237,20.6,0.26,58.5
2025-01-03T20:00:00+00:00,hostel_a,0.7793,21.3,0.24,65.6
2025-01-03T21:00:00+00:00,hostel_a,0.7586,20.5,0.22,65.3
2025-01-03T22:00:00+00:00,hostel_a,0.8397,23.1,0.2,52.7
2025-01-03T23:00:00+00:00,hostel_a,0.8087,22.2,0.05,62.1
2025-01-04T00:00:00+00:00,hostel_a,0.8089,25.0,0.05,66.3
2025-01-04T01:00:00+00:00,hostel_a,0.8519,26.1,0.05,56.6
2025-01-04T02:00:00+00:00,hostel_a,0.8549,26.2,0.05,60.7
2025-01-04T03:00:00+00:00,hostel_a,0.8477,29.3,0.05,59.7
2025-01-04T04:00:00+00:00,hostel_a,0.8462,29.8,0.05,56.8
2025-01-04T05:00:00+00:00,hostel_a,0.79,28.9,0.05,53.0
2025-01-04T06:00:00+00:00,hostel_a,0.7896,30.5,0.2,63.1
2025-01-04T07:00:00+00:00,hostel_a,0.7042,28.4,0.22,67.3
2025-01-04T08:00:00+00:00,hostel_a,0.7474,29.6,0.6,54.3
2025-01-04T09:00:00+00:00,hostel_a,0.7866,26.7,0.69,55.9
2025-01-04T10:00:00+00:00,hostel_a,0.7779,26.5,0.78,65.0
2025-01-04T11:00:00+00:00,hostel_a,0.7879,27.2,0.84,67.7
2025-01-04T12:00:00+00:00,hostel_a,0.7705,26.0,0.89,57.3
2025-01-04T13:00:00+00:00,hostel_a,0.7502,22.2,0.9,53.4
2025-01-04T14:00:00+00:00,hostel_a,0.8258,21.7,0.89,61.2
2025-01-04T15:00:00+00:00,hostel_a,0.8077,20.6,0.84,56.9
2025-01-04T16:00:00+00:00,hostel_a,0.8498,20.0,0.78,61.2
2025-01-04T17:00:00+00:00,hostel_a,0.8091,21.0,0.69,57.4
2025-01-04T18:00:00+00:00,hostel_a,0.838,20.3,0.6,52.2
2025-01-04T19:00:00+00:00,hostel_a,0.8664,20.5,0.26,57.9
2025-01-04T20:00:00+00:00,hostel_a,0.851,19.2,0.24,56.0
2025-01-04T21:00:00+00:00,hostel_a,0.8344,22.2,0.22,65.6
2025-01-04T22:00:00+00:00,hostel_a,0.8305,21.5,0.2,64.3
2025-01-04T23:00:00+00:00,hostel_a,0.8409,21.8,0.05,65.6
2025-01-05T00:00:00+00:00,hostel_a,0.8533,25.4,0.05,60.3
2025-01-05T01:00:00+00:00,hostel_a,0.8191,24.7,0.05,58.1
2025-01-05T02:00:00+00:00,hostel_a,0.8611,26.3,0.05,59.1
2025-01-05T03:00:00+00:00,hostel_a,0.8515,27.4,0.05,58.4
2025-01-05T04:00:00+00:00,hostel_a,0.7908,27.5,0.05,53.1
2025-01-05T05:00:00+00:00,hostel_a,0.8184,28.9,0.05,61.8
2025-01-05T06:00:00+00:00,hostel_a,0.8233,29.4,0.2,53.6
2025-01-05T07:00:00+00:00,hostel_a,0.7525,28.4,0.22,58.7
