timestamp,building_id,consumption_kwh,temperature_c,occupancy,humidity_pct
2025-01-01T00:00:00+00:00,hostel_b,0.3207,25.6,0.05,64.6
2025-01-01T01:00:00+00:00,hostel_b,0.3406,26.7,0.05,66.6
2025-01-01T02:00:00+00:00,hostel_b,0.3319,25.6,0.05,60.3
2025-01-01T03:00:00+00:00,hostel_b,0.3635,26.6,0.05,67.1
2025-01-01T04:00:00+00:00,hostel_b,0.34,29.1,0.05,54.1
2025-01-01T05:00:00+00:00,hostel_b,0.3227,30.5,0.05,60.5
2025-01-01T06:00:00+00:00,hostel_b,0.3473,29.8,0.2,66.1
2025-01-01T07:00:00+00:00,hostel_b,0.2923,30.4,0.22,53.7
2025-01-01T08:00:00+00:00,hostel_b,0.3492,27.9,0.6,56.1
2025-01-01T09:00:00+00:00,hostel_b,0.3291,29.4,0.69,65.1
2025-01-01T10:00:00+00:00,hostel_b,0.343,26.2,0.78,63.5
2025-01-01T11:00:00+00:00,hostel_b,0.3404,26.0,0.84,53.2
2025-01-01T12:00:00+00:00,hostel_b,0.2028,24.4,0.89,58.8
2025-01-01T13:00:00+00:00,hostel_b,0.3018,24.5,0.9,56.5
2025-01-01T14:00:00+00:00,hostel_b,0.3425,21.0,0.89,55.5
2025-01-01T15:00:00+00:00,hostel_b,0.329,21.6,0.84,65.9
2025-01-01T16:00:00+00:00,hostel_b,0.3176,19.0,0.78,65.4
2025-01-01T17:00:00+00:00,hostel_b,0.3266,18.5,0.69,58.0
2025-01-01T18:00:00+00:00,hostel_b,0.4182,19.4,0.6,58.6
2025-01-01T19:00:00+00:00,hostel_b,0.4447,19.7,0.26,64.5
2025-01-01T20:00:00+00:00,hostel_b,0.3986,19.0,0.24,65.6
2025-01-01T21:00:00+00:00,hostel_b,0.3806,21.3,0.22,63.0
2025-01-01T22:00:00+00:00,hostel_b,0.4323,21.0,0.2,63.8
2025-01-01T23:00:00+00:00,hostel_b,0.424,22.2,0.05,55.1
2025-01-02T00:00:00+00:00,hostel_b,0.4376,24.8,0.05,60.2
2025-01-02T01:00:00+00:00,hostel_b,0.4337,26.9,0.05,62.9
2025-01-02T02:00:00+00:00,hostel_b,0.4141,27.5,0.05,52.6
2025-01-02T03:00:00+00:00,hostel_b,0.4178,28.1,0.05,53.4
2025-01-02T04:00:00+00:00,hostel_b,0.5924,29.9,0.05,65.3
2025-01-02T05:00:00+00:00,hostel_b,0.623,30.7,0.05,67.8
2025-01-02T06:00:00+00:00,hostel_b,0.6947,29.4,0.2,54.9
2025-01-02T07:00:00+00:00,hostel_b,0.6781,28.2,0.22,67.6
2025-01-02T08:00:00+00:00,hostel_b,0.7493,27.5,0.6,57.3
2025-01-02T09:00:00+00:00,hostel_b,0.7597,29.3,0.69,61.4
2025-01-02T10:00:00+00:00,hostel_b,0.7343,25.6,0.78,63.8
2025-01-02T11:00:00+00:00,hostel_b,0.7794,26.6,0.84,54.1
2025-01-02T12:00:00+00:00,hostel_b,0.5255,23.4,0.89,66.3
2025-01-02T13:00:00+00:00,hostel_b,0.7657,22.5,0.9,55.0
2025-01-02T14:00:00+00:00,hostel_b,0.6058,22.5,0.89,67.2
2025-01-02T15:00:00+00:00,hostel_b,0.627,20.7,0.84,54.5
2025-01-02T16:00:00+00:00,hostel_b,0.6228,20.9,0.78,59.0
2025-01-02T17:00:00+00:00,hostel_b,0.6235,20.3,0.69,59.5
