date,temperature,humidity,apparent_temp,precipitation
2025-01-01 00:00:00+00:00,23.6,73,25.9,0.0
2025-01-01 01:00:00+00:00,22.8,78,25.0,0.0
2025-01-01 02:00:00+00:00,22.4,78,24.4,0.0
2025-01-01 03:00:00+00:00,23.5,72,25.6,0.0
2025-01-01 04:00:00+00:00,26.0,60,28.1,0.0
2025-01-01 05:00:00+00:00,28.8,49,30.7,0.0
2025-01-01 06:00:00+00:00,31.0,41,33.5,0.0
2025-01-01 07:00:00+00:00,32.0,38,34.5,0.0
2025-01-01 08:00:00+00:00,32.4,37,34.5,0.0
2025-01-01 09:00:00+00:00,31.8,42,33.7,0.0
2025-01-01 10:00:00+00:00,30.5,50,32.2,0.0
2025-01-01 11:00:00+00:00,29.0,56,30.7,0.0
2025-01-01 12:00:00+00:00,27.6,59,29.1,0.0
2025-01-01 13:00:00+00:00,26.4,71,28.8,0.0
2025-01-01 14:00:00+00:00,26.0,74,28.4,0.0
2025-01-01 15:00:00+00:00,26.0,69,27.9,0.0
2025-01-01 16:00:00+00:00,26.3,60,27.4,0.0
2025-01-01 17:00:00+00:00,26.1,59,27.3,0.0
2025-01-01 18:00:00+00:00,25.6,61,26.9,0.0
2025-01-01 19:00:00+00:00,25.2,62,26.7,0.0
2025-01-01 20:00:00+00:00,24.4,65,26.6,0.0
2025-01-01 21:00:00+00:00,23.5,70,26.0,0.0
2025-01-01 22:00:00+00:00,23.2,71,25.3,0.0
2025-01-01 23:00:00+00:00,22.6,75,24.6,0.0
2025-01-02 00:00:00+00:00,22.0,79,23.9,0.0
2025-01-02 01:00:00+00:00,21.4,81,23.2,0.0
2025-01-02 02:00:00+00:00,21.2,82,23.1,0.0
2025-01-02 03:00:00+00:00,22.7,76,24.6,0.0
2025-01-02 04:00:00+00:00,25.4,63,27.5,0.0
2025-01-02 05:00:00+00:00,28.5,49,30.2,0.0
2025-01-02 06:00:00+00:00,30.9,40,32.8,0.0
2025-01-02 07:00:00+00:00,32.2,34,34.3,0.0
2025-01-02 08:00:00+00:00,32.8,33,34.4,0.0
2025-01-02 09:00:00+00:00,32.5,38,34.0,0.0
2025-01-02 10:00:00+00:00,31.5,43,32.5,0.0
2025-01-02 11:00:00+00:00,30.3,50,31.6,0.0
2025-01-02 12:00:00+00:00,29.0,50,29.8,0.0
2025-01-02 13:00:00+00:00,27.2,62,28.8,0.0
