forecast_time,predicted_kw,temperature
2025-07-31 14:00:00+00:00,2.3009,27.05
2025-07-31 15:00:00+00:00,2.0768,27.05
2025-07-31 16:00:00+00:00,2.0156,27.05
2025-07-31 17:00:00+00:00,2.0858,27.05
2025-07-31 18:00:00+00:00,2.1016,27.05
2025-07-31 19:00:00+00:00,2.1611,27.05
2025-07-31 20:00:00+00:00,2.213,27.05
2025-07-31 21:00:00+00:00,2.2712,27.05
2025-07-31 22:00:00+00:00,2.3601,27.05
2025-07-31 23:00:00+00:00,2.5697,27.05
2025-08-01 00:00:00+00:00,2.7413,27.05
2025-08-01 01:00:00+00:00,3.1334,27.05
2025-08-01 02:00:00+00:00,3.5771,27.05
2025-08-01 03:00:00+00:00,3.7583,27.05
2025-08-01 04:00:00+00:00,3.8289,27.05
2025-08-01 05:00:00+00:00,3.9271,27.05
2025-08-01 06:00:00+00:00,4.1449,27.05
2025-08-01 07:00:00+00:00,4.2369,27.05
2025-08-01 08:00:00+00:00,4.209,27.05
2025-08-01 09:00:00+00:00,4.209,27.05
2025-08-01 10:00:00+00:00,4.209,27.05
2025-08-01 11:00:00+00:00,4.2191,27.05
2025-08-01 12:00:00+00:00,4.2173,27.05
2025-08-01 13:00:00+00:00,3.4583,27.05
